chapter	index	quest_title	item_id	filename	source	source_texture	out_w	out_h
6minecarts	00	Chapter -  &eMinecarts	minecraft:minecart	by_chapter/6minecarts/00_chapter_-_minecarts__minecraft__minecart.png	1.21.1.jar	assets/minecraft/textures/item/minecart.png	512	512
6minecarts	01	17E6DCDBEEBAEEAD	minecraft:minecart	by_chapter/6minecarts/01_17e6dcdbeebaeead__minecraft__minecart.png	1.21.1.jar	assets/minecraft/textures/item/minecart.png	512	512
6minecarts	02	323F20F8AFC2C633	minecraft:tnt_minecart	by_chapter/6minecarts/02_323f20f8afc2c633__minecraft__tnt_minecart.png	1.21.1.jar	assets/minecraft/textures/item/tnt_minecart.png	512	512
6minecarts	03	08D5EBEEC4FCBCD2	minecraft:hopper_minecart	by_chapter/6minecarts/03_08d5ebeec4fcbcd2__minecraft__hopper_minecart.png	1.21.1.jar	assets/minecraft/textures/item/hopper_minecart.png	512	512
6minecarts	04	7D20EAB7E4E34B45	minecraft:chest_minecart	by_chapter/6minecarts/04_7d20eab7e4e34b45__minecraft__chest_minecart.png	1.21.1.jar	assets/minecraft/textures/item/chest_minecart.png	512	512
6minecarts	05	505C272F43942FDA	supplementaries:dispenser_minecart	by_chapter/6minecarts/05_505c272f43942fda__supplementaries__dispenser_minecart.png	supplementaries-neoforge-1.21.1-3.8.0.jar	assets/supplementaries/textures/item/dispenser_minecart.png	512	512
6minecarts	06	34BDEA7471099252	minecraft:furnace_minecart	by_chapter/6minecarts/06_34bdea7471099252__minecraft__furnace_minecart.png	1.21.1.jar	assets/minecraft/textures/item/furnace_minecart.png	512	512
6minecarts	07	73CBEFC51D900FE3	create:minecart_coupling	by_chapter/6minecarts/07_73cbefc51d900fe3__create__minecart_coupling.png	create-1.21.1-6.0.10.jar	assets/create/textures/item/minecart_coupling.png	512	512
6minecarts	09	4F576C152529CBB1	create:controller_rail	by_chapter/6minecarts/09_4f576c152529cbb1__create__controller_rail.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/controller_rail.png	512	512
6minecarts	10	40C70D05C46DCF4E	minecraft:detector_rail	by_chapter/6minecarts/10_40c70d05c46dcf4e__minecraft__detector_rail.png	1.21.1.jar	assets/minecraft/textures/block/detector_rail.png	512	512
6minecarts	11	2C7B4EE0E160A970	minecraft:powered_rail	by_chapter/6minecarts/11_2c7b4ee0e160a970__minecraft__powered_rail.png	1.21.1.jar	assets/minecraft/textures/block/powered_rail.png	512	512
6minecarts	12	092494276E7FD582	minecraft:activator_rail	by_chapter/6minecarts/12_092494276e7fd582__minecraft__activator_rail.png	1.21.1.jar	assets/minecraft/textures/block/activator_rail.png	512	512
6minecarts	13	4F4E1DEE8F0200D6	minecraft:rail	by_chapter/6minecarts/13_4f4e1dee8f0200d6__minecraft__rail.png	1.21.1.jar	assets/minecraft/textures/block/rail.png	512	512
6minecarts	14	48673623C1866594	create:cart_assembler	by_chapter/6minecarts/14_48673623c1866594__create__cart_assembler.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/cart_assembler_side.png	512	512
addon_guildhalls	00	Chapter - &eAddon Guildhalls	create:goggles	by_chapter/addon_guildhalls/00_chapter_-_addon_guildhalls__create__goggles.png	create-1.21.1-6.0.10.jar	assets/create/textures/item/goggles.png	512	512
